Question,Answer,Format
形)できる,able,text
副)海外で,abroad,text
副)実際,actually,text
動)加える,add,text
動)同意する,agree,text
副)もう少しで,almost,text
副)すでに,already,text
副)また,also,text
副)いつも,always,text
名)量,amount,text
名)方法　動)近づく,approach,text
動)到着する,arrive,text
名)注意,attention,text
形)平均的な　名)平均,average,text
動)～になる,become,text
動)始める,begin,text
動)信じる,believe,text
副)下に,below,text
名)少し　副)少し,bit,text
動)借りる,borrow,text
動)壊す　名)休憩,break,text
形)幅広い,broad,text
形)忙しい,busy,text
動)中止する,cancel,text
形)丁寧な,careful,text
副)丁寧に,carefully,text
形)確かな,certain,text
動)選ぶ,choose,text
形)きれいな　動)きれいにする,clean,text
形)はっきりした　動)片付ける,clear,text
名)事務員,clerk,text
形)近い　動)閉める,close,text
動)集める,collect,text
形)共通の,common,text
名)会社,company,text
動)比べる,compare,text
名)状態,condition,text
動)接続する,connect,text
動)連絡する　名)連絡先,contact,text
動)続く,continue,text
形)便利な,convenient,text
名)会話,conversation,text
名)会社,corporation,text
名)客,customer,text
名)損害　動)損害を与える,damage,text
動)扱う　名)取引,deal,text
動)決める,decide,text
動)飾る,decorate,text
名)実演,demonstration,text
形)異なる,different,text
形)難しい,difficult,text
動)発見する,discover,text
動)話し合う,discuss,text
動)二倍にする　形)二倍の,double,text
形)簡単な,easy,text
名)教育,education,text
名)効果,effect,text
名)努力,effort,text
名)電気,electricity,text
形)空の　動)空にする,empty,text
動)楽しむ,enjoy,text
形)十分な　副)十分に,enough,text
名)入口,entrance,text
副)特に,especially,text
名)例,example,text
動)交換する　名)交換,exchange,text
形)人を興奮させるような,exciting,text
形)値段が高い,expensive,text
名)経験　動)経験する,experience,text
動)説明する,explain,text
形)余分な　名)余分なもの　副（余分に,extra,text
名)事実,fact,text
形)速い　副)速く,fast,text
形)好きな　名)お気に入り,favorite,text
名)感想,feedback,text
名)映画　動)撮影する,film,text
形)最終的な,final,text
名)予想　動)予想する,forecast,text
名)用紙　動)結成する,form,text
名)家具,furniture,text
形)さらなる　副)さらに,further,text
名)美術館,gallery,text
形)嬉しい,glad,text
名)政府,government,text
動)卒業する,graduate,text
名)成長,growth,text
動)起こる,happen,text
形)健康的な,healthy,text
残念ながら,I’m afraid,text
形)重要な,important,text
副)代わりに,instead,text
形)関心がある,interested,text
形)国際的な,international,text
名)面接　動)面接する,interview,text
名)物,item,text
動)加わる,join,text
名)法律,law,text
名)講義,lecture,text
動)させる,let,text
名)図書館,library,text
